Data a almacenar [x,y]:
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
750.996337,498.253021
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
2982.664550,2329.004150
2885.522216,2327.544677
2813.710937,2345.335693
2729.316650,2351.730712
2645.000976,2354.283691
2580.367675,2373.549560
2512.770996,2385.834472
2422.961181,2378.441162
2338.732666,2370.842529
2275.114501,2383.114013
2216.963134,2398.297363
2150.234619,2401.214843
2075.625244,2395.640869
2004.845458,2390.605468
1949.870605,2403.867187
1889.872192,2410.785156
1833.015625,2417.373046
1774.302490,2421.229736
1716.454345,2425.919189
1660.692626,2429.075195
1600.154418,2421.872070
1545.800415,2424.961914
1492.032592,2428.824707
1442.085449,2432.979248
1392.417236,2439.313720
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
767.572937,1659.040527
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
792.983520,2486.619628
.000000,.000000
.000000,.000000
561.166503,2122.054931
526.030700,2124.598388
491.236450,2127.780761
454.574523,2130.034179
419.521514,2133.392822
384.168334,2134.453369
350.216247,2135.726318
314.570312,2136.718505
278.661254,2134.638183
244.168075,2137.851806
210.006515,2138.211669
175.250274,2137.327148
140.387832,2141.904296
105.298797,2143.415039
71.334403,2143.313232
.000000,.000000
.000000,.000000
.000000,.000000
-73.312355,2535.440429
-114.140808,2534.931640
-154.147705,2520.290283
-195.177810,2523.964843
-237.763198,2541.904296
-279.202026,2542.968505
-322.628631,2541.604736
-363.625823,2551.974121
-406.207122,2555.669433
-449.096435,2551.020751
-490.439849,2552.815917
-534.835144,2553.847412
-577.934326,2560.589111
-622.467651,2561.965332
-663.669677,2551.860595
.000000,.000000
.000000,.000000
-797.997131,2557.651367
-846.313293,2561.827148
-893.502441,2569.850830
-941.229736,2577.256347
-990.963745,2579.446044
-1037.933593,2581.127441
-1087.474609,2583.448730
-1137.255859,2584.610839
-1188.084350,2586.425048
-1241.158203,2589.408935
-1293.937377,2591.695556
-1346.861938,2594.203369
-1402.086181,2599.199951
-1457.900146,2601.603759
-1512.894165,2600.716796
-1570.622924,2604.293701
-1630.212524,2607.303710
-1689.758056,2608.223144
-1751.823120,2612.524902
-1810.310424,2611.071533
-1875.547973,2614.311767
-1946.922729,2626.617919
-2018.282104,2633.249267
-2090.196777,2638.058105
-2166.423095,2645.673828
-2244.401367,2655.596191
-2321.037353,2658.312744
-2397.272705,2659.522949
-2479.784423,2663.608398
-2567.715332,2670.582275
-2658.086425,2677.000732
-2749.837890,2683.161621
-2846.803466,2689.736328
-2943.206542,2694.000000
-3044.919677,2698.361572
.000000,.000000
.000000,.000000
-3385.592285,2721.782470
-3503.827636,2728.269042
-3633.339843,2736.364990
-3769.918212,2746.866943
-3921.545654,2761.863769
-4076.120361,2775.332031
-4229.986328,2783.207763
.000000,.000000
-4576.739257,2796.052246
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
-7821.962890,2917.219726
-7840.554199,2781.299316
-7860.368652,2644.352050
-8026.969238,2559.804443
.000000,.000000
-8777.376953,2490.988281
-8797.631835,2341.897216
.000000,.000000
-8827.512695,2048.136962
-8790.127929,1893.469238
-8781.922851,1741.853271
-8839.610351,1608.421997
-8921.228515,1472.901367
-9001.636718,1337.776733
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
-2774.973388,162.889724
-2771.771972,117.231575
.000000,.000000
.000000,.000000
.000000,.000000
-3565.984130,-73.918502
-3620.545166,-133.352401
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
-1680.749145,-744.476562
-1618.925659,-750.085205
-1560.949462,-753.962341
-1505.594848,-759.912170
-1451.366699,-763.095520
-1397.888671,-764.429809
-1349.539916,-766.450317
-1301.299804,-768.437194
-1257.434082,-771.028137
-9125.712890,-5806.723632
14656.104492,671.942077
1032.653930,-14.081093
-113.902130,8701.004882
-671.556213,-9914.532226
-6214.141113,-1313.772827
-712.655334,6692.664062
973.643798,-3851.333984
-6610.065429,-989.721862
-5557.667968,481.651641
1111.488159,5660.405273
-4015.291748,4586.125976
2798.649169,2830.889160
-131.222549,-2.684277
5013.345214,14330.899414
-3158.967041,11854.054687
-6416.665039,848.329345
-8419.023437,-5732.309082
-5318.820312,-14750.872070
6516.501464,9903.943359
-4375.083496,3381.830810
10538.127929,-3622.137695
-3773.595214,1242.063232
-3276.860107,-2237.680175
-6801.983886,-4604.205566
.000000,.000000
4826.373535,-3548.972412
19.090620,-31.402399
-5760.354492,-1558.645141
-3.551352,12.765202
-90.335540,5710.785644
-211.677154,14925.999023
725.558288,-3902.881103
2782.117675,-1077.540405
2296.394531,3254.972412
-3281.618652,2369.226562
.000000,.000000
3627.274902,-3144.467773
-6.903896,12.179334
3708.705322,1438.745117
.000000,.000000
-16313.157226,-489.507537
-59.381435,-5583.184082
-4644.186523,1688.911865
874.871765,1079.173339
-5042.438964,1162.690429
787.646362,1612.681274
10247.293945,-3528.424804
-4729.327636,-5629.955078
-12585.211914,-7641.589355
2740.054199,935.961120
-918.789062,-8223.583007
-12194.865234,-2724.479492
-970.733032,-774.752441
-5416.100585,-4484.569335
-4460.380371,-945.540710
-1242.589355,-752.631469
-1197.561157,-756.518005
-1156.388183,-761.773742
-1114.232543,-763.109436
-10802.222656,-7696.261718
-2.582914,127.973937
-2.582914,127.973937
.000000,.000000
-903.780517,3078.840332
-933.352539,12332.230468
-2081.846435,9306.489257
3611.840087,8842.271484
-6562.717285,11526.108398
-1711.466918,-332.675415
-365.165740,-822.589782
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
2787.127685,-975.013427
1663.735595,2399.663330
1603.453979,2402.575195
1539.471313,2402.007080
1484.064575,2407.015380
1432.329223,2421.033203
1584.663330,3897.678466
-3303.609619,2779.742675
-3432.935546,2787.696044
-3559.333740,2785.549316
-7724.033203,5833.697753
3880.502441,856.957519
-12740.098632,1889.816406
-3236.469726,428.783386
2586.525146,-3013.422607
-2763.133300,215.189025
-2769.802978,165.618041
.000000,.000000
.000000,.000000
-21.085905,-2.635731
-4466.328125,1800.264526
-878.129638,-786.345886
-848.780090,-788.476135
-5135.732421,-4954.107910
-29.216615,3967.892333
3811.271240,1125.560546
3879.536376,857.853942
-3663.823242,-915.615295
-35.414508,71.176277
-5025.295410,2123.413818
-14046.119140,2615.181884
-45.447177,3967.739746
-3938.674316,507.612701
-3484.741210,1905.617187
-942.466918,-251.706924
-23.653509,-5.345461
-2.478213,127.976005
-2.582914,127.973937
-2739.927001,10214.401367
7163.843750,-2942.215087
-5626.754882,3702.240722
-7882.075195,1456.409912
-14.067358,3967.975097
-3693.267333,-1508.604248
-15.149626,3967.971191
-3989.168945,-297.541839
-11.274647,2431.973876
2663.277343,2324.093505
2586.825927,2341.995117
.000000,.000000
2392.545898,2329.445068
2323.600097,2343.967529
2258.874755,2360.940917
2171.631347,2354.406005
2086.035156,2344.917968
2027.222656,2364.419433
1967.468017,2378.789550
1897.531738,2380.191162
1830.545043,2385.614013
1773.166503,2396.297607
668.603088,938.429504
-1031.108642,-706.179931
-3277.118896,-2247.041259
-3386.619140,2077.865722
-2528.969482,-3064.478515
-23.942750,-11.929256
-4.340003,3978.497558
-2959.690185,2659.076171
-3740.888916,1355.798950
-3579.375732,1738.534057
2562.958251,-3044.283935
407.436767,3959.592773
3142.213134,-2443.945068
-8547.359375,877.160034
4552.484863,3858.229736
-14276.939453,-549.244140
-6583.750000,-559.723815
-6565.750000,-1502.626342
-14705.040039,-3781.595458
-1.780175,127.987617
-131.448287,9268.818359
-3119.622070,447.113250
-972.280578,79.188522
-7901.337890,6232.406738
-1340.779785,1114.496337
-8492.661132,8813.629882
-3106.842529,3337.149902
-9038.087890,10054.344726
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
1927.058593,-8193.946289
-7975.705566,3362.408935
-11174.927734,953.117858
1468.250610,15883.784179
-3909.766357,677.311035
3496.606201,-4420.526855
-11183.368164,-7569.927734
-5100.723144,9555.313476
-8519.077148,-378.933837
-4167.096191,5872.487304
.000000,.000000
.000000,.000000
4272.210449,3867.865722
-1498.935668,1120.582153
-2663.413818,2954.777587
-2555.346923,-3048.718994
-3.246526,3967.998535
-966.696960,3859.269287
11968.208984,-9319.086914
-4864.687500,9677.613281
6081.437011,1322.147460
-325.776916,-827.695373
-307.981689,-826.481262
-42.628532,-120.693031
-68.169288,3967.414306
-68.169288,3967.414306
-2.233901,127.980506
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
1475.392700,3703.968750
3246.499267,-2337.144287
-2449.286621,-3166.860839
3606.668701,-1737.225341
3079.959716,-2557.314697
10054.795898,10859.387695
-682.122253,2984.285644
-2814.558593,-2797.722656
-58.431468,3967.569824
-8110.042480,-5564.112792
-2633.120361,183.404006
-11068.447265,649.713073
-12106.149414,-359.963287
-12342.111328,-792.044738
-4416.179687,-368.168457
8330.229492,2038.394287
-31.544794,5508.159667
-4588.828613,-3106.139648
-4778.468750,-3234.505126
-4725.468750,-3198.630126
-5883.390136,-3982.417236
-7.870377,1.434281
-4198.369628,-2841.841064
-4226.111328,-2860.619384
-4255.095703,-2880.238525
-4310.580078,-2917.795410
-4337.908203,-2936.293457
-4364.821777,-2954.511230
-4418.235839,-2990.666503
-4444.735839,-3008.604248
-4583.031738,-3102.215820
-4771.843750,-3230.020751
-4694.000488,-3177.329345
-4746.585937,-3212.924072
-4774.328125,-3231.702392
-4831.882324,-3270.660644
2073.516113,3387.818847
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
8160.393066,-5404.445800
-8125.297363,-5574.578613
-8154.446289,-5591.307128
3056.086914,-2551.604248
-3919.303222,-701.001586
-3783.975097,-1240.906494
-1880.682495,3511.595947
3575.316162,1757.093994
-448.773315,-822.254821
-428.496337,-822.585632
-409.381042,-823.339172
-391.610778,-823.918151
-375.140808,-824.959655
-3076.035644,-7111.496093
-9.413734,704.437072
-1352.030151,2704.360595
-5841.981445,11621.802734
-2.303714,127.979270
-2.303714,127.979270
-585.097900,86.791130
-279.400054,521.351928
1792.840942,2398.177490
751.198730,1043.481445
-6840.136230,10303.766601
-2632.613281,4032.169189
-7521.438964,11693.385742
-3196.721923,5039.050292
-3776.531738,6483.850585
4151.954101,10967.931640
-4887.681640,7755.876953
-3876.498779,-909.444763
-3802.339111,-1178.383911
-12547.024414,-2907.521484
-4778.180175,-1267.747802
5868.515625,1589.630126
-230.498657,3045.540039
82.068702,-102.427001
-1010.503662,3779.494873
1530.655761,3669.830566
2722.024902,-81.678848
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
826.497436,2474.627685
.000000,.000000
.000000,.000000
577.832641,2112.653564
537.044799,2114.619628
500.242034,2116.691406
460.530883,2121.080322
421.357513,2124.365966
383.955627,2126.616699
343.499114,2127.447753
561.880310,3928.016601
-3400.124755,-2045.525756
164.910690,56.280780
-171.215255,-116.781417
-10210.377929,1389.572387
743.645385,-3899.475097
13549.465820,-3116.464599
861.417968,201.845825
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
.000000,.000000
393.220428,-94.857498
393.998321,-85.882987
394.550476,-79.600059
395.220855,-72.135505
